acl_action,action
ALLOW_ADMIN_ERROR_PAGE,allowed
ALLOW_CUSTOMCAT,allowed
ALLOW_WBRS,allowed
BLOCK_ADMIN,blocked
BLOCK_ADMIN_CONNECT,blocked
BLOCK_ADMIN_CUSTOM_USER_AGENT,blocked
BLOCK_ADMIN_IDS,blocked
BLOCK_ADMIN_FILE_TYPE,blocked
BLOCK_ADMIN_PROTOCOL,blocked
BLOCK_ADMIN_SIZE,blocked
BLOCK_ADMIN_SIZE_IDS,blocked
BLOCK_AMP_RESP,blocked
BLOCK_AMW_REQ,blocked
BLOCK_AMW_RESP,blocked
BLOCK_AMW_REQ_URL,blocked
BLOCK_AVC,blocked
BLOCK_CONTENT_UNSAFE,blocked
BLOCK_CONTINUE_CONTENT_UNSAFE,blocked
BLOCK_CONTINUE_CUSTOMCAT,blocked
BLOCK_CONTINUE_WEBCAT,blocked
BLOCK_CUSTOMCAT,blocked
BLOCK_ICAP,blocked
BLOCK_SEARCH_UNSAFE,blocked
BLOCK_SUSPECT_USER_AGENT,blocked
BLOCK_UNSUPPORTED_SEARCH_APP,blocked
BLOCK_WBRS,blocked
BLOCK_WBRS_IDS,blocked
BLOCK_WEBCAT,blocked
BLOCK_WEBCAT_IDS,blocked
DECRYPT_ADMIN,allowed
DECRYPT_WEBCAT,allowed
DECRYPT_WBRS,allowed
DEFAULT_CASE,allowed
DROP_ADMIN,dropped
DROP_WEBCAT,dropped
DROP_WBRS,dropped
MONITOR_AMP_RESP,allowed
MONITOR_AMW_RESP,allowed
MONITOR_AMW_RESP_URL,allowed
MONITOR_AVC,allowed
MONITOR_CONTINUE_CONTENT_UNSAFE,allowed
MONITOR_CONTINUE_CUSTOMCAT,allowed
MONITOR_CONTINUE_WEBCAT,allowed
MONITOR_IDS,allowed
MONITOR_SUSPECT_USER_AGENT,allowed
MONITOR_WBRS,allowed
NO_AUTHORIZATION,blocked
NO_PASSWORD,blocked
PASSTHRU_ADMIN,allowed
PASSTHRU_WEBCAT,allowed
PASSTHRU_WBRS,allowed
REDIRECT_CUSTOMCAT,allowed
SAAS_AUTH,allowed
OTHER,unknown
